historical_id,disposition,canonical_target,required_discriminator,clinical_activation
MED-PAIN-001,IDENTITY_RETAINED,MED-PAIN-001,form|strength|route_or_use|indication_tags,NO
MED-PAIN-002,IDENTITY_RETAINED,MED-PAIN-002,form|strength|route_or_use|indication_tags,NO
MED-PAIN-003,IDENTITY_RETAINED,MED-PAIN-003,form|strength|route_or_use|indication_tags,NO
MED-PAIN-004,IDENTITY_RETAINED,MED-PAIN-004,form|strength|route_or_use|indication_tags,NO
MED-PAIN-005,IDENTITY_RETAINED,MED-PAIN-005,form|strength|route_or_use|indication_tags,NO
MED-PAIN-006,IDENTITY_RETAINED,MED-PAIN-006,form|strength|route_or_use|indication_tags,NO
MED-PAIN-007,IDENTITY_RETAINED,MED-PAIN-007,form|strength|route_or_use|indication_tags,NO
MED-PAIN-008,IDENTITY_RETAINED,MED-PAIN-008,form|strength|route_or_use|indication_tags,NO
MED-ABX-001,IDENTITY_RETAINED,MED-ABX-001,form|strength|route_or_use|indication_tags,NO
MED-ABX-002,IDENTITY_RETAINED,MED-ABX-002,form|strength|route_or_use|indication_tags,NO
MED-ABX-003,IDENTITY_RETAINED,MED-ABX-003,form|strength|route_or_use|indication_tags,NO
MED-ABX-004,IDENTITY_RETAINED,MED-ABX-004,form|strength|route_or_use|indication_tags,NO
MED-ABX-005,IDENTITY_RETAINED,MED-ABX-005,form|strength|route_or_use|indication_tags,NO
MED-ABX-006,IDENTITY_RETAINED,MED-ABX-006,form|strength|route_or_use|indication_tags,NO
MED-ABX-007,IDENTITY_RETAINED,MED-ABX-007,form|strength|route_or_use|indication_tags,NO
MED-ABX-008,IDENTITY_RETAINED,MED-ABX-008,form|strength|route_or_use|indication_tags,NO
MED-ABX-009,IDENTITY_RETAINED,MED-ABX-009,form|strength|route_or_use|indication_tags,NO
MED-ABX-010,IDENTITY_RETAINED,MED-ABX-010,form|strength|route_or_use|indication_tags,NO
MED-ABX-011,IDENTITY_RETAINED,MED-ABX-011,form|strength|route_or_use|indication_tags,NO
MED-ABX-012,IDENTITY_RETAINED,MED-ABX-012,form|strength|route_or_use|indication_tags,NO
