historical_id,canonical_medicine,dental_role,exact_form_strength_target,morocco_market_status,regulatory_status,clinical_evidence_status,adult_regimen_status,pediatric_regimen_status,max_dose_limit_status,duration_status,contraindications_precautions_status,interactions_status,specialist_protocol_boundary,unresolved_critical_fields,evidence_layer,clinical_activation
MED-PAIN-001,paracetamol,pain,tablet/oral suspension,PARTIAL_VERIFIED,NOT_SEPARATELY_PROVEN,CROSS_VALIDATED_CORE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,CAPTURED,PARTIAL_PENDING,NONE,regulatory proof; full interactions,CLINICAL_PASS1_CORE,NO
MED-PAIN-002,ibuprofen,pain,tablet/oral suspension,PARTIAL_VERIFIED,NOT_SEPARATELY_PROVEN,CROSS_VALIDATED_CORE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,CAPTURED,PARTIAL_PENDING,NONE,regulatory proof; full interactions,CLINICAL_PASS1_CORE,NO
MED-PAIN-003,naproxen,pain,naproxen sodium 550 mg oral,PARTIAL_VERIFIED_MA,NOT_SEPARATELY_PROVEN,CLINICAL_SUPPORTED,TO_VALIDATE_MA_FORMULATION,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,CAPTURED_CLASS,TO_VALIDATE,NONE,formulation/regimen; pediatric; max; duration; interactions,ANALGESICS_PASS,NO
MED-PAIN-004,diclofenac,nondefault pain,oral 50 mg,PARTIAL_VERIFIED_MA,NOT_SEPARATELY_PROVEN,CLINICAL_SUPPORTED_NONDEFAULT,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,CAPTURED_CLASS,TO_VALIDATE,NONDEFAULT,regimen; pediatric; max; duration; interactions,ANALGESICS_PASS,NO
MED-PAIN-005,ketoprofen,noncore NSAID,NOT_LOCKED,TO_VERIFY_MA,NOT_PROVEN,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,CAPTURED_CLASS,TO_VALIDATE,NONDEFAULT,Morocco/form and clinical regimen incomplete,ANALGESICS_PASS,NO
MED-PAIN-006,dexketoprofen,noncore NSAID,NOT_LOCKED,TO_VERIFY_MA,NOT_PROVEN,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,CAPTURED_CLASS,TO_VALIDATE,NONDEFAULT,Morocco/form and clinical regimen incomplete,ANALGESICS_PASS,NO
MED-PAIN-007,paracetamol + codeine,exception analgesia,product specific,VERIFIED_MA_PRESENCE,NOT_SEPARATELY_PROVEN,SPECIALIST_OR_EXCEPTION,NO_AUTOMATIC_REGIMEN,NOT_CERTIFIED,NOT_CERTIFIED,NOT_CERTIFIED,CAPTURED_HIGH_RISK,NOT_CERTIFIED,SPECIALIST_OR_EXCEPTION,regulatory/product/pediatric/safety closure,ANALGESICS_PASS,NO
MED-PAIN-008,tramadol,exception analgesia,50 mg capsule/200 mg PR observed,VERIFIED_MA_PRESENCE,NOT_SEPARATELY_PROVEN,SPECIALIST_OR_EXCEPTION,NO_AUTOMATIC_REGIMEN,NOT_CERTIFIED,NOT_CERTIFIED,NOT_CERTIFIED,CAPTURED_HIGH_RISK,NOT_CERTIFIED,SPECIALIST_OR_EXCEPTION,regulatory/product/pediatric/safety closure,ANALGESICS_PASS,NO
MED-ABX-001,amoxicillin,antibiotic,capsule/oral suspension,PARTIAL_VERIFIED,NOT_SEPARATELY_PROVEN,CROSS_VALIDATED_CORE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,CAPTURED,CAPTURED,NONE,regulatory/form Morocco closure,CLINICAL_PASS1_CORE,NO
MED-ABX-002,amoxicillin + clavulanic acid,nonroutine antibiotic,tablet/suspension,PARTIAL_VERIFIED,NOT_SEPARATELY_PROVEN,NOT_ROUTINE_DENTAL_ABSCESS,CAPTURED_GENERAL,CAPTURED_GENERAL,CAPTURED_GENERAL,INDICATION_SPECIFIC,CAPTURED,PARTIAL_PENDING,NON_ROUTINE,regulatory/product/full interactions,CLINICAL_PASS1_CORE,NO
