id,domain,subdomain,item,item_type,morocco_status,clinical_status,population_or_age,use_pattern,key_precautions,primary_sources
OC-TP-FLUORIDE,oral_care,toothpaste,standard fluoride toothpaste,otc_para,VERIFIED_FAMILY_MA,CLINICAL_FAMILY_SUPPORTED,"all ages with age-appropriate amount","brush twice daily","<3y smear/rice-size; 3-6y pea-size; supervise swallowing","ADA fluoride; ADA toothpaste; AAPD fluoride; GUM Morocco"
OC-TP-SENS,oral_care,toothpaste,sensitivity toothpaste,otc_para,VERIFIED_FAMILY_MA,PRODUCT_SPECIFIC,"after differential diagnosis","daily per product","active/concentration and response window product-specific","ADA toothpaste; GUM Morocco"
OC-TP-GING,oral_care,toothpaste,gingival antimicrobial toothpaste,otc_para,VERIFIED_EXAMPLE_MA,PRODUCT_SPECIFIC,"example GUM Gingidex >=7y per local brochure","at least twice daily per product","adjunct only; not substitute for mechanical plaque control","ADA home care; GUM Gingidex Morocco"
OC-RINSE-GENERAL,oral_care,mouthrinse,therapeutic mouthrinse,otc_or_rx,VERIFIED_FAMILY_MA,CLINICAL_FAMILY_SUPPORTED,">=6y generally unless dentist directs otherwise","per active/product","not replacement for brushing/interdental; avoid swallowing","ADA mouthrinse; GUM Morocco"
OC-RINSE-CHX012,oral_care,mouthrinse,chlorhexidine 0.12%,otc_or_rx,VERIFIED_EXAMPLE_MA,PRODUCT_SPECIFIC,"product-specific; pediatric licensing varies","per product/indication","staining; taste alteration; calculus; age restrictions","ADA mouthrinse; SDCEP oral ulceration; GUM Morocco"
OC-RINSE-CHX02,oral_care,mouthrinse,chlorhexidine 0.2%,otc_or_rx,TO_VERIFY_EXACT_MA,CLINICAL_FAMILY_SUPPORTED,"<12y licensing/product caution","short-term per indication/product","staining; taste alteration; do not generalize duration","ADA mouthrinse; SDCEP oral ulceration"
OC-RINSE-CPC,oral_care,mouthrinse,cetylpyridinium chloride,otc_para,VERIFIED_FAMILY_MA,CLINICAL_FAMILY_SUPPORTED,"product-specific","adjunctive daily hygiene per product","may stain; not equivalent to CHX for every indication","ADA mouthrinse; GUM Morocco"
OC-RINSE-EO,oral_care,mouthrinse,essential oil mouthrinse,otc_para,TO_VERIFY_MA,CLINICAL_FAMILY_SUPPORTED,"product-specific","adjunctive daily hygiene per product","not substitute for mechanical hygiene","ADA mouthrinse"
OC-RINSE-NAF005,oral_care,mouthrinse,sodium fluoride 0.05%,otc_para,TO_VERIFY_EXACT_MA,CLINICAL_FAMILY_SUPPORTED,">6y","daily rinse-and-spit","avoid routine <6y due ingestion/fluorosis risk","ADA fluoride"
OC-RINSE-NAF02,oral_care,mouthrinse,sodium fluoride 0.2%,otc_or_rx,TO_VERIFY_EXACT_MA,CLINICAL_FAMILY_SUPPORTED,"high-caries-risk/supervised contexts", "often weekly in referenced regimens","higher strength; product/professional direction","ADA fluoride"
OC-FLUOR-VARNISH,oral_care,fluoride,sodium fluoride varnish,professional_product,TO_VERIFY_MA,CLINICAL_FAMILY_SUPPORTED,"risk-based pediatric/adult","professional application","product-specific concentration/frequency","AAPD fluoride; ADA fluoride"
OC-FLUOR-GEL,oral_care,fluoride,professional fluoride gel/foam,professional_product,TO_VERIFY_MA,CLINICAL_FAMILY_SUPPORTED,"risk-based","professional application","high concentration; product-specific","ADA fluoride; AAPD fluoride"
