id,item_or_form,morocco_status,morocco_evidence,clinical_interpretation,guardrail,clinical_activation
MED-FUNG-001,miconazole oral gel,TO_VERIFY_MA,"No exact current Moroccan oral-gel presentation sufficiently verified in this pass","Clinical family supported for oral candidiasis by existing SDCEP/AAPD pass","Do not substitute dermatologic/vaginal miconazole forms",NO
MED-FUNG-002,nystatin oral suspension,MARKET_DATABASE_MA_SECONDARY,"Moroccan medicine database lists MYCOPHARM nystatin 100000 IU oral suspension 24 mL and MYCOSTATINE oral suspension; primary AMMPS page not locked","Clinical family supported; existing guideline divergence on volume/duration remains","Exact product concentration/presentation and current regulatory/commercial status must be primary-verified before regimen activation",NO
MED-FUNG-003,fluconazole oral,PARTIAL_VERIFIED_MA,"AMMPS lists CANDICID 150 mg capsules commercialized; 50 mg presentation observed non-commercialized","Systemic option for selected extensive/severe oral candidiasis or unsuitable topical therapy","A marketed 150 mg capsule does not validate the dental regimen or pediatric formulation required",NO
MED-FUNG-004,miconazole topical cream,TO_VERIFY_MA,"No exact Morocco dental/perioral presentation locked in this pass","Potential perioral/angular-cheilitis context requires separate indication proof","Do not map oral-gel candidiasis regimen to skin cream",NO
MED-FUNG-005,clotrimazole oral,TO_VERIFY_MA,"AMMPS current evidence found clotrimazole dermal products; no oral/buccal form established","Oral formulation relevance remains product/jurisdiction-specific","Dermal clotrimazole is not proof of oral troche/lozenge availability",NO
MED-FUNG-006,amphotericin B oral/local,TO_VERIFY_MA,"AMMPS shows historical FUNGIZONE 50 mg IV withdrawn; no oral/local buccal form established","Specialist/exception only pending exact form evidence","IV withdrawn product must not be repurposed as evidence for oral/local use",NO
MED-VIR-001,aciclovir oral,REGULATORY_RMMG_MA,"AMMPS RMMG Jan 2026 lists oral aciclovir 200 mg, 400 mg, 800 mg tablets and 80 mg/mL oral suspension generics","Clinical use is indication-specific; existing SDCEP/AAPD pass has regimen divergence","RMMG listing establishes authorized generic presentations, not a universal dental regimen",NO
MED-VIR-002,valaciclovir oral,PARTIAL_VERIFIED_MA,"Prior availability pass: VALEX 500 mg commercialized in several pack sizes; some ZELITREX statuses withdrawn/non-commercialized","Supported in selected herpes contexts; not routine automatic dental prescribing","Product-specific indication/renal dosing/interactions remain required",NO
MED-VIR-003,famciclovir,TO_VERIFY_MA,"No sufficiently robust current Morocco presentation found in this pass","Specialist/alternative antiviral context only","Absence of public hit is not proof of absence",NO
MED-VIR-004,aciclovir topical,VERIFIED_MA_PRESENCE,"AMMPS lists CICLOVIRAL 5% cream commercialized; RMMG lists aciclovir 5% dermal cream family","Clinical family supported for selected herpes labialis with product variation","Dermal cream availability does not establish intraoral use",NO
MED-VIR-005,penciclovir topical,TO_VERIFY_MA,"No sufficiently robust current Morocco presentation found in this pass","Potential herpes-labialis topical alternative; localization pending","No availability inference from foreign products",NO
