source_id,canonical_entity_id,relation_type,preserve_source_row,auto_merge_allowed,required_discriminator,notes
MED-MUC-007,CAN-MED-BENZOCAINE-TOPICAL,EXACT_OR_QUASI_DUPLICATE,YES,NO,"form|concentration|route_or_use|indication_tags","Same benzocaine topical concept also represented by MED-LA-008; preserve both historical rows until discriminators are populated"
MED-LA-008,CAN-MED-BENZOCAINE-TOPICAL,EXACT_OR_QUASI_DUPLICATE,YES,NO,"form|concentration|route_or_use|indication_tags","Same benzocaine topical concept also represented by MED-MUC-007"
OC-TP-010,CAN-OC-WHITENING-TOOTHPASTE,EXACT_DUPLICATE,YES,NO,"form|active_or_material|indication_tags","Same text concept as OC-WHITE-001"
OC-WHITE-001,CAN-OC-WHITENING-TOOTHPASTE,EXACT_DUPLICATE,YES,NO,"form|active_or_material|indication_tags","Same text concept as OC-TP-010"
OC-XERO-004,CAN-OC-XYLITOL-GUM,QUASI_DUPLICATE,YES,NO,"composition|indication_tags","Same sugar-free/xylitol gum family as OC-GUM-001; different indication context"
OC-GUM-001,CAN-OC-XYLITOL-GUM,QUASI_DUPLICATE,YES,NO,"composition|indication_tags","Same sugar-free/xylitol gum family as OC-XERO-004; different indication context"
MED-MUC-005,CAN-BENZYDAMINE-ORAL,FORM_CONTEXT_OVERLAP,YES,NO,"regulatory_type|form|concentration|route_or_use","Benzydamine medicine row overlaps oral-care mouthrinse row OC-RINSE-014; regulatory/product distinctions must remain explicit"
OC-RINSE-014,CAN-BENZYDAMINE-ORAL,FORM_CONTEXT_OVERLAP,YES,NO,"regulatory_type|form|concentration|route_or_use","Overlap with MED-MUC-005; do not auto-merge"
MED-MUC-006,CAN-LIDOCAINE-ORAL-TOPICAL,FORM_CONTEXT_OVERLAP,YES,NO,"form|concentration|route_or_use|age_limits","Lidocaine viscous/topical overlaps topical spray/gel row MED-LA-007"
MED-LA-007,CAN-LIDOCAINE-ORAL-TOPICAL,FORM_CONTEXT_OVERLAP,YES,NO,"form|concentration|route_or_use|age_limits","Overlap with MED-MUC-006; do not auto-merge"
OC-TP-005,CAN-STANNOUS-FLUORIDE-DESENSITIZING,ACTIVE_OVERLAP,YES,NO,"form|concentration|indication_tags","Toothpaste representation overlaps broader desensitizing-product row OC-SENS-002"
OC-SENS-002,CAN-STANNOUS-FLUORIDE-DESENSITIZING,ACTIVE_OVERLAP,YES,NO,"form|concentration|indication_tags","Broader product family; do not collapse into toothpaste without form proof"
OC-TP-006,CAN-POTASSIUM-NITRATE-DESENSITIZING,ACTIVE_OVERLAP,YES,NO,"form|concentration|indication_tags","Toothpaste representation overlaps broader OC-SENS-001"
OC-SENS-001,CAN-POTASSIUM-NITRATE-DESENSITIZING,ACTIVE_OVERLAP,YES,NO,"form|concentration|indication_tags","Broader product family; do not auto-merge"
OC-TP-007,CAN-ARGININE-CALCIUM-CARBONATE-DESENSITIZING,ACTIVE_OVERLAP,YES,NO,"form|concentration|indication_tags","Toothpaste representation overlaps broader OC-SENS-003"
OC-SENS-003,CAN-ARGININE-CALCIUM-CARBONATE-DESENSITIZING,ACTIVE_OVERLAP,YES,NO,"form|concentration|indication_tags","Broader product family; do not auto-merge"
OC-TP-008,CAN-STRONTIUM-DESENSITIZING,ACTIVE_OVERLAP,YES,NO,"form|salt|concentration|indication_tags","Toothpaste representation overlaps broader OC-SENS-004"
OC-SENS-004,CAN-STRONTIUM-DESENSITIZING,ACTIVE_OVERLAP,YES,NO,"form|salt|concentration|indication_tags","Broader product family; do not auto-merge"
OC-TP-013,CAN-HYDROXYAPATITE-REMINERALIZATION,ACTIVE_OVERLAP,YES,NO,"form|particle_type|concentration|indication_tags","Hydroxyapatite toothpaste overlaps broader remineralization row OC-REM-002"
OC-REM-002,CAN-HYDROXYAPATITE-REMINERALIZATION,ACTIVE_OVERLAP,YES,NO,"form|particle_type|concentration|indication_tags","Broader product family; do not auto-merge"
OC-RINSE-004,CAN-CPC-ORAL-CARE,ACTIVE_INDICATION_OVERLAP,YES,NO,"form|concentration|co_actives|indication_tags","CPC mouthrinse overlaps halitosis family OC-HAL-001"
OC-HAL-001,CAN-CPC-ORAL-CARE,ACTIVE_INDICATION_OVERLAP,YES,NO,"form|concentration|co_actives|indication_tags","Halitosis-use row overlaps CPC mouthrinse family"
OC-RINSE-012,CAN-ZINC-ORAL-CARE,ACTIVE_INDICATION_OVERLAP,YES,NO,"zinc_salt|form|concentration|co_actives|indication_tags","Zinc mouthrinse overlaps halitosis family OC-HAL-002"
OC-HAL-002,CAN-ZINC-ORAL-CARE,ACTIVE_INDICATION_OVERLAP,YES,NO,"zinc_salt|form|concentration|co_actives|indication_tags","Halitosis-use row overlaps zinc mouthrinse family"
OC-RINSE-011,CAN-CHLORINE-DIOXIDE-ORAL-CARE,ACTIVE_INDICATION_OVERLAP,YES,NO,"form|concentration|co_actives|indication_tags","Chlorine dioxide mouthrinse overlaps halitosis family OC-HAL-003"
OC-HAL-003,CAN-CHLORINE-DIOXIDE-ORAL-CARE,ACTIVE_INDICATION_OVERLAP,YES,NO,"form|concentration|co_actives|indication_tags","Halitosis-use row overlaps chlorine dioxide mouthrinse family"
OC-RINSE-013,CAN-CPC-ZINC-ORAL-CARE,MULTI_ACTIVE_OVERLAP,YES,NO,"form|CPC_concentration|zinc_salt|zinc_concentration|indication_tags","Combination row overlaps both CPC and zinc indication clusters; preserve as separate combination entity"
