gap_id,canonical_id,family,subfamily,active_or_material,form,evidence_status,morocco_status,clinical_activation
GAP-PARA-DH-STRONTIUM,PARA-DH-STR-001,Desensitization,Strontium,strontium_salt,toothpaste_or_gel,EVIDENCE_REVIEW_REQUIRED,TO_VERIFY_BY_PRODUCT,NO
GAP-PARA-TP-LOW-ABRASIVITY,PARA-TP-LOWABR-001,Toothpaste,Low abrasivity,product_specific,toothpaste,EVIDENCE_REVIEW_REQUIRED_PRODUCT_SPECIFIC,TO_VERIFY_BY_PRODUCT,NO
GAP-PARA-TP-SLS-FREE,PARA-TP-SLSFREE-001,Toothpaste,SLS-free,surfactant_status,toothpaste,TAXONOMY_ONLY_NO_GENERIC_CLINICAL_CLAIM,TO_VERIFY_BY_PRODUCT,NO
GAP-PARA-CHX-GEL,PARA-GEL-CHX-001,Oral topical,Chlorhexidine gel,chlorhexidine,gel,EVIDENCE_REVIEW_REQUIRED_FORM_SPECIFIC,TO_VERIFY_BY_PRODUCT,NO
GAP-PARA-MR-CPC-ZINC-COMBINATION,PARA-MR-CPCZN-001,Mouthrinse,CPC plus zinc,cetylpyridinium_chloride_plus_zinc,mouthrinse,EVIDENCE_REVIEW_REQUIRED_PRODUCT_SPECIFIC,TO_VERIFY_BY_PRODUCT,NO
GAP-HOME-RINSE-SALINE,PARA-HOME-SALINE-001,Home care,Saline rinse,sodium_chloride_or_saline,rinse,HISTORICAL_CLINICAL_STATUS_RETAINED_REVIEW_REQUIRED,GENERIC_HOME_CARE,NO
GAP-HOME-RINSE-BICARBONATE,PARA-HOME-BICARB-001,Home care,Bicarbonate rinse,sodium_bicarbonate,rinse,EVIDENCE_REVIEW_REQUIRED,GENERIC_HOME_CARE,NO
GAP-PARA-BR-POSTSURG-ULTRASOFT,PARA-BR-POSTOP-001,Toothbrush,Post-surgical ultrasoft,device,manual_ultrasoft_brush,TAXONOMY_SUPPORTED_PROTOCOL_SPECIFIC,TO_VERIFY_BY_PRODUCT,NO
GAP-PARA-DENT-BRUSH,PARA-DENT-BRUSH-001,Denture,Brush,device,denture_brush,TAXONOMY_SUPPORTED,TO_VERIFY_BY_PRODUCT,NO
GAP-PARA-INT-SUPERFLOSS,PARA-INT-SUPER-001,Interdental,Superfloss,device_or_multisegment_floss,superfloss,TAXONOMY_SUPPORTED,TO_VERIFY_BY_PRODUCT,NO
GAP-PARA-INT-THREADER,PARA-INT-THREAD-001,Interdental,Floss threader,device,threader,TAXONOMY_SUPPORTED,TO_VERIFY_BY_PRODUCT,NO
GAP-PARA-INT-POWERED-CLEANER,PARA-INT-PWR-001,Interdental,Powered cleaner,device,powered_interdental_cleaner,TAXONOMY_ONLY_REVIEW_REQUIRED,TO_VERIFY_BY_PRODUCT,NO
GAP-PARA-DENT-ADH-REMOVER,PARA-DENT-REMOVER-001,Denture,Adhesive residue remover,cleaning_agents,solution_or_wipe_or_product_specific,TAXONOMY_ONLY_REVIEW_REQUIRED,TO_VERIFY_BY_PRODUCT,NO
GAP-PARA-ORTHO-PROTECTIVE-SILICONE,PARA-ORTHO-SIL-001,Orthodontics,Protective silicone,silicone,protective_silicone,TAXONOMY_SUPPORTED,TO_VERIFY_BY_PRODUCT,NO
GAP-PARA-DH-HOME-GEL,PARA-DH-GEL-001,Desensitization,Home gel,product_specific,gel,EVIDENCE_REVIEW_REQUIRED_ACTIVE_SPECIFIC,TO_VERIFY_BY_PRODUCT,NO
GAP-PARA-WHITE-POST-DESENS,PARA-WHITE-DESENS-001,Whitening,Post-whitening desensitizer,product_specific,gel_or_toothpaste_or_product_specific,EVIDENCE_REVIEW_REQUIRED_ACTIVE_SPECIFIC,TO_VERIFY_BY_PRODUCT,NO
GAP-PARA-CHARCOAL-ORAL,PARA-CHARCOAL-001,Market review,Charcoal oral product,charcoal_or_product_specific,toothpaste_or_powder_or_product_specific,MARKET_ONLY_REVIEW_NO_CLINICAL_RECOMMENDATION,TO_VERIFY_BY_PRODUCT,NO
GAP-PARA-MUC-HYALURONIC-GEL,PARA-MUC-HA-001,Oral mucosa,Hyaluronic acid gel,hyaluronic_acid,oral_gel,EVIDENCE_REVIEW_REQUIRED,TO_VERIFY_BY_PRODUCT,NO
GAP-PARA-MUC-BARRIER-GEL,PARA-MUC-BARRIER-001,Oral mucosa,Barrier film gel,barrier_or_film_forming_agents,oral_gel,EVIDENCE_REVIEW_REQUIRED,TO_VERIFY_BY_PRODUCT,NO
GAP-PARA-MUC-PROTECTIVE-PATCH,PARA-MUC-PATCH-001,Oral mucosa,Protective patch,product_specific,oral_patch,EVIDENCE_REVIEW_REQUIRED,TO_VERIFY_BY_PRODUCT,NO
