canonical_id,family,subfamily,active_or_material,form,indication_tags,age_guard,evidence_status,morocco_status,product_specific,clinical_activation
PARA-TP-F-001,Toothpaste,Daily fluoride,fluoride compounds,toothpaste,caries_prevention,AGE_PRODUCT_AND_GUIDELINE_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-TP-HF-001,Toothpaste,High fluoride,fluoride,toothpaste,high_caries_risk,AGE_PRODUCT_AND_GUIDELINE_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-DH-SN-001,Desensitization,Stannous,stannous fluoride,toothpaste_or_gel,dentin_hypersensitivity,PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-DH-K-001,Desensitization,Potassium,potassium salts,toothpaste_or_gel,dentin_hypersensitivity,PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-DH-ARG-001,Desensitization,Arginine,arginine,toothpaste_or_gel,dentin_hypersensitivity,PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-REM-CPP-001,Remineralization,CPP-ACP,CPP-ACP,cream_or_paste,remineralization_candidate,MILK_PROTEIN_ALLERGY_GUARD;PRODUCT_SPECIFIC,EVIDENCE_CONTEXT_DEPENDENT,VERIFIED_MARKET_MA_SECONDARY_DENTAL_DISTRIBUTOR,YES,NO
PARA-REM-CPPF-001,Remineralization,CPP-ACPF,CPP-ACP_plus_fluoride,cream_or_paste,remineralization_candidate,MILK_PROTEIN_ALLERGY_GUARD;PRODUCT_SPECIFIC,EVIDENCE_CONTEXT_DEPENDENT,VERIFIED_MARKET_MA_SECONDARY_DENTAL_DISTRIBUTOR,YES,NO
PARA-REM-HA-001,Remineralization,Hydroxyapatite,hydroxyapatite_or_nano_hydroxyapatite,toothpaste_or_serum,remineralization_candidate;hypersensitivity_candidate,PRODUCT_SPECIFIC,EMERGING_EVIDENCE_NO_FLUORIDE_EQUIVALENCE_CLAIM,TO_VERIFY_MA,YES,NO
PARA-FLUOR-VARN-001,Fluoride,Professional varnish,fluoride,varnish,caries_prevention;professional_use,AGE_RISK_PROTOCOL_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-FLUOR-GELP-001,Fluoride,Professional gel,fluoride,gel_or_foam,caries_prevention;professional_use,AGE_RISK_PROTOCOL_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-FLUOR-HOME-001,Fluoride,High strength home,fluoride,gel_or_paste,high_caries_risk;home_use,AGE_RISK_PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,VERIFIED_MARKET_MA_REGULATORY_PENDING,YES,NO
PARA-FLUOR-SDF-001,Fluoride,SDF,silver_diamine_fluoride,professional_solution,caries_arrest;professional_use,PROTOCOL_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_MA_EXACT_PRODUCT_CONCENTRATION,YES,NO
PARA-MR-CHX-001,Mouthrinse,Chlorhexidine,chlorhexidine,mouthrinse,plaque;gingivitis;selected_postop,UNDER6_NOT_ROUTINE;PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,VERIFIED_MARKET_MA_PRODUCT_SPECIFIC_PLUS_MEDICINE_EVIDENCE,YES,NO
PARA-MR-CPC-001,Mouthrinse,CPC,cetylpyridinium_chloride,mouthrinse,plaque;gingivitis;halitosis,UNDER6_NOT_ROUTINE;PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,VERIFIED_MARKET_MA_OFFICIAL_BRAND_SITE,YES,NO
PARA-MR-EO-001,Mouthrinse,Essential oils,essential_oils,mouthrinse,plaque;gingivitis,UNDER6_NOT_ROUTINE;PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-MR-F-001,Mouthrinse,Fluoride,fluoride,mouthrinse,caries_prevention,UNDER6_NOT_ROUTINE;RISK_PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-MR-PEROX-001,Mouthrinse,Peroxide,hydrogen_or_carbamide_peroxide,mouthrinse,whitening_claim_product_specific,UNDER6_NOT_ROUTINE;PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED_LIMITED_CLAIM,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-MR-CDO2-001,Mouthrinse,Chlorine dioxide,chlorine_dioxide,mouthrinse,halitosis,UNDER6_NOT_ROUTINE;PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-MR-ZN-001,Mouthrinse,Zinc,zinc_salts,mouthrinse,halitosis,UNDER6_NOT_ROUTINE;PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-MR-HEX-001,Mouthrinse,Hexetidine,hexetidine,mouthrinse,antimicrobial_claim_candidate,UNDER6_NOT_ROUTINE;PRODUCT_SPECIFIC,EVIDENCE_REVIEW_REQUIRED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-MR-PVP-001,Mouthrinse,Povidone iodine,povidone_iodine,mouthrinse,antimicrobial_claim_candidate,PRODUCT_AND_CONTRAINDICATION_SPECIFIC,EVIDENCE_REVIEW_REQUIRED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-INT-FLOSS-001,Interdental,Floss,nylon_or_PTFE_or_other,floss_or_tape,interdental_plaque,DEXTERITY_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
