record_type,category,sub_category,item_or_dci,maroc_status,indication_or_use,form_strength,adult_regimen,pediatric_regimen,age_weight_limits,duration,max_daily_dose,contraindications,precautions_interactions,clinical_source_status,morocco_source_status,validation_status,clinical_activation
MEDICINE,Analgesic,Non-opioid,Paracetamol,TO_VERIFY,Acute dental pain/fever,TO_VERIFY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,NSAID,Analgesic/Ibuprofen,Ibuprofen,TO_VERIFY,Acute inflammatory dental pain,TO_VERIFY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,NSAID,Analgesic,Naproxen,TO_VERIFY,Acute inflammatory dental pain,TO_VERIFY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,NSAID,Analgesic,Diclofenac,TO_VERIFY,Dental inflammatory pain where clinically appropriate,TO_VERIFY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,Antibiotic,Penicillin,Amoxicillin,TO_VERIFY,Odontogenic bacterial infection when systemic antibiotic indicated,TO_VERIFY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,Antibiotic,Penicillin,Phenoxymethylpenicillin,TO_VERIFY,Odontogenic bacterial infection where guideline appropriate,TO_VERIFY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,Antibiotic,Nitroimidazole,Metronidazole,TO_VERIFY,Anaerobic odontogenic infection where guideline appropriate,TO_VERIFY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,Antibiotic,Macrolide,Clarithromycin,TO_VERIFY,Alternative antibiotic in selected patients where guideline appropriate,TO_VERIFY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,Antibiotic,Lincosamide,Clindamycin,TO_VERIFY,Selected odontogenic infection only when specifically justified,TO_VERIFY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,Antifungal,Polyene,Nystatin,TO_VERIFY,Oral candidiasis,TO_VERIFY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,Antifungal,Azole,Miconazole,TO_VERIFY,Oral candidiasis where appropriate,TO_VERIFY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,Antifungal,Azole,Fluconazole,TO_VERIFY,Selected oral candidiasis/systemic treatment when appropriate,TO_VERIFY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,Antiviral,Nucleoside analogue,Aciclovir,TO_VERIFY,Selected oral herpes infections,TO_VERIFY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,Antiviral,Nucleoside analogue,Valaciclovir,TO_VERIFY,Selected oral herpes infections,TO_VERIFY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,Local anaesthetic,Amide,Articaine + epinephrine,TO_VERIFY,Local dental anaesthesia,TO_VERIFY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,Local anaesthetic,Amide,Lidocaine + epinephrine,TO_VERIFY,Local dental anaesthesia,TO_VERIFY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,Local anaesthetic,Amide,Mepivacaine,TO_VERIFY,Local dental anaesthesia,TO_VERIFY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,Corticosteroid,Systemic,Dexamethasone,TO_VERIFY,Selected inflammatory/postoperative indications only,TO_VERIFY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,Corticosteroid,Systemic,Prednisolone,TO_VERIFY,Selected oral inflammatory indications only,TO_VERIFY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,Haemostasis,Antifibrinolytic,Tranexamic acid,TO_VERIFY,Selected local haemostatic protocols,TO_VERIFY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,Emergency,Anaphylaxis,Epinephrine,TO_VERIFY,Emergency anaphylaxis protocol,TO_VERIFY,PROTOCOL_ONLY,PROTOCOL_ONLY,PROTOCOL_ONLY,PROTOCOL_ONLY,PROTOCOL_ONLY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
