canonical_id,evidence_file,evidence_key,mapping_type,evidence_status,clinical_activation
MED-PAIN-001,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS1_CORE_2026-09-16.csv,MED-PAIN-001,EXACT_ROW,CROSS_VALIDATED_CORE,NO
MED-PAIN-002,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS1_CORE_2026-09-16.csv,MED-PAIN-002,EXACT_ROW,CROSS_VALIDATED_CORE,NO
MED-ABX-001,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS1_CORE_2026-09-16.csv,MED-ABX-001,EXACT_ROW,CROSS_VALIDATED_CORE,NO
MED-ABX-002,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS1_CORE_2026-09-16.csv,MED-ABX-002,EXACT_ROW,NOT_ROUTINE_DENTAL_ABSCESS,NO
MED-ABX-003,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS1_CORE_2026-09-16.csv,MED-ABX-003,EXACT_ROW,CROSS_VALIDATED_CORE,NO
MED-ABX-004,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS1_CORE_2026-09-16.csv,MED-ABX-004,EXACT_ROW,CROSS_VALIDATED_CORE,NO
MED-ABX-005,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS1_CORE_2026-09-16.csv,MED-ABX-005,EXACT_ROW,CROSS_VALIDATED_WITH_CAUTION,NO
MED-ABX-006,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS1_CORE_2026-09-16.csv,MED-ABX-006,EXACT_ROW,CROSS_VALIDATED_WITH_CAUTION,NO
MED-FUNG-001,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS2_ANTIFUNGALS_2026-09-16.md,Miconazole,EXACT_ITEM,RESEARCH_VALIDATION_PASS,NO
MED-FUNG-002,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS2_ANTIFUNGALS_2026-09-16.md,Nystatine,EXACT_ITEM,GUIDELINE_DIVERGENCE,NO
MED-FUNG-003,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS2_ANTIFUNGALS_2026-09-16.md,Fluconazole,EXACT_ITEM,CROSS_VALIDATED_WITH_RANGE_DIVERGENCE,NO
MED-VIR-001,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS2_ANTIVIRALS_2026-09-16.md,Aciclovir systémique,EXACT_ITEM,CROSS_VALIDATED_INDICATION_SPECIFIC_DIVERGENCE,NO
MED-VIR-002,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS2_ANTIVIRALS_2026-09-16.md,Valaciclovir,EXACT_ITEM,SUPPORTED_PENDING_LOCALIZATION,NO
MED-VIR-003,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS2_ANTIVIRALS_2026-09-16.md,Zona alternatives,PARTIAL_REFERENCE,NOT_ROW_VALIDATED,NO
MED-VIR-004,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS2_ANTIVIRALS_2026-09-16.md,Aciclovir topique,EXACT_ITEM,CROSS_VALIDATED_WITH_PRODUCT_VARIATION,NO
MED-LA-001,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS4_LOCAL_ANESTHESIA_2026-09-16.md,Articaïne + adrénaline,EXACT_ITEM,RESEARCH_VALIDATION_PASS,NO
MED-LA-002,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS4_LOCAL_ANESTHESIA_2026-09-16.md,Lidocaïne,EXACT_ITEM,RESEARCH_VALIDATION_PASS,NO
MED-LA-003,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS4_LOCAL_ANESTHESIA_2026-09-16.md,Mépivacaïne,EXACT_ITEM,RESEARCH_VALIDATION_PASS,NO
MED-LA-004,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS4_LOCAL_ANESTHESIA_2026-09-16.md,Mépivacaïne,FAMILY_SUPPORT,FORMULATION_VALIDATION_PENDING,NO
MED-LA-005,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS4_LOCAL_ANESTHESIA_2026-09-16.md,Prilocaïne,EXACT_ITEM,RESEARCH_VALIDATION_PASS,NO
