id,domain,subdomain,item,item_type,morocco_status,clinical_status,adult_dose_status,pediatric_status,key_guardrail,primary_sources
MED-MUC-HC,medicine,oral_mucosa,hydrocortisone buccal,drug,TO_VERIFY_MA,TO_VALIDATE,REFERENCE_CAPTURED,AGE_RESTRICTED,"noninfectious ulcer only; persistent >=3 weeks requires urgent evaluation","SDCEP oral ulceration; NHS hydrocortisone buccal"
MED-MUC-TRI,medicine,oral_mucosa,triamcinolone oral paste,drug,TO_VERIFY_MA,SPECIALIST_OR_EXCEPTION,TO_VALIDATE,TO_VALIDATE,"do not infer dose from class alone","oral medicine specialist evidence pending"
MED-MUC-DEX,medicine,oral_mucosa,dexamethasone topical/rinse,drug,TO_VERIFY_MA,SPECIALIST_OR_EXCEPTION,TO_VALIDATE,TO_VALIDATE,"specialist pathway until formulation-specific evidence","SDCEP oral ulceration"
MED-MUC-PRED,medicine,oral_mucosa,prednisolone topical/rinse,drug,TO_VERIFY_MA,SPECIALIST_OR_EXCEPTION,TO_VALIDATE,TO_VALIDATE,"specialist pathway until formulation-specific evidence","SDCEP oral ulceration"
MED-HEM-TXA,medicine,hemostasis,tranexamic acid,drug,TO_VERIFY_MA,SPECIALIST_OR_EXCEPTION,NOT_ROUTINE_DENTAL,NOT_ROUTINE,"local haemostasis first; SDCEP does not advise routine primary-care dental prescription","SDCEP anticoagulant guidance 2026"
MED-XERO-PILO,medicine,xerostomia,pilocarpine,drug,TO_VERIFY_MA,SPECIALIST_OR_EXCEPTION,REFERENCE_CAPTURED,NOT_ROUTINE,"contraindicated uncontrolled asthma; caution cardiorespiratory/cholinergic risks","ADA xerostomia 2026; Salagen SmPC; DailyMed"
MED-XERO-CEVI,medicine,xerostomia,cevimeline,drug,TO_VERIFY_MA,SPECIALIST_OR_EXCEPTION,REFERENCE_CAPTURED,NOT_ROUTINE,"availability/authorization Morocco not proven","ADA xerostomia 2026"
MED-SED-N2O,medicine,sedation,nitrous oxide + oxygen,medicinal_gas,TO_VERIFY_MA,SPECIALIST_OR_EXCEPTION,PROTOCOL_REQUIRED,PROTOCOL_REQUIRED,">50% or with other sedatives may become moderate/deep sedation; monitoring/competence required","AAPD nitrous oxide; AAPD/AAP sedation guideline 2025"
MED-SED-MID,medicine,sedation,midazolam,drug,PARTIAL_VERIFIED_MA,SPECIALIST_OR_EXCEPTION,REFERENCE_CAPTURED,REFERENCE_CAPTURED,"slow titration; monitoring and rescue capability mandatory; no automatic dental protocol","AMMPS RMMG 2026; midazolam SmPC; AAPD/AAP sedation guideline 2025"
MED-SED-DIAZ,medicine,sedation,diazepam,drug,VERIFIED_PRESENT_MA,SPECIALIST_OR_EXCEPTION,TO_VALIDATE,TO_VALIDATE,"market presence does not establish dental indication","AMMPS medicine database"
MED-SED-HYDROX,medicine,sedation,hydroxyzine,drug,TO_VERIFY_MA,SPECIALIST_OR_EXCEPTION,TO_VALIDATE,TO_VALIDATE,"retired injectable form does not establish status of all forms","AMMPS retired medicines"
